#SampleID	LinkerPrimerSequence	BarcodeSequence	Name	SampleType	GPS	Population	Captive	Warren	Date Collected	Sex	Extraction Kit	Date Extracted	Lot No.	Associated EBC	Description
W20	NA	NA	W20	Faecal	"54H 0352233, 6246650"	Wonga	No	Wi	20/06/2019	U	Qiagen DNeasy Powersoil	25/07/2019		EBC 11	NA
W21	NA	NA	W21	Faecal	"54H 0352574, 6248951"	Wonga	No	Wj	20/06/2019	U	Qiagen DNeasy Powersoil	24/07/2019		EBC10	NA
W22	NA	NA	W22	Faecal	"54H 0352574, 6248951"	Wonga	No	Wj	20/06/2019	U	Qiagen DNeasy Powersoil	26/07/2019		EBC12	NA
W23	NA	NA	W23	Faecal	"54H 0352404, 6248911"	Wonga	No	Wk	20/06/2019	U	Qiagen DNeasy Powersoil	26/07/2019		EBC12	NA
E1-EBC1	NA	NA	EBC1	Control		Controls	NA	Controls		N	Qiagen DNeasy Powersoil	28/05/2019	1600-27051		NA
E2-EBC2	NA	NA	EBC2	Control		Controls	NA	Controls		N	Qiagen DNeasy Powersoil	30/05/2019	1600-27051		NA
E3-EBC3	NA	NA	EBC3	Control		Controls	NA	Controls		N	Qiagen DNeasy Powersoil	7/06/2019	1600-27051		NA
E4-EBC4	NA	NA	EBC4	Control		Controls	NA	Controls		N	Qiagen DNeasy Powersoil	28/06/2019	1630-11363		NA
E5-EBC5	NA	NA	EBC5	Control		Controls	NA	Controls		N	Qiagen DNeasy Powersoil	1/07/2019	1630-11363		NA
E6-EBC6	NA	NA	EBC6	Control		Controls	NA	Controls		N	Qiagen DNeasy Powersoil	5/07/2019	1630-11363		NA
E7-EBC7	NA	NA	EBC7	Control		Controls	NA	Controls		N	Qiagen DNeasy Powersoil	11/07/2019	1600-54007		NA
E8-EBC8	NA	NA	EBC8	Control		Controls	NA	Controls		N	Qiagen DNeasy Powersoil	12/07/2019	1600-54007		NA
E9-EBC9	NA	NA	EBC9	Control		Controls	NA	Controls		N	Qiagen DNeasy Powersoil	18/07/2019			NA
E10-EBC10	NA	NA	EBC10	Control		Controls	NA	Controls		N	Qiagen DNeasy Powersoil	24/07/2019			NA
E11-EBC11	NA	NA	EBC11	Control		Controls	NA	Controls		N	Qiagen DNeasy Powersoil	25/07/2019			NA
E12-EBC12	NA	NA	EBC12	Control		Controls	NA	Controls		N	Qiagen DNeasy Powersoil	26/07/2019			NA
